Year,Rank,Country,Score
2021,23,Bulgaria,580
2021,50,Georgia,512
2021,24,Lithuania,579
2021,51,Russia,511
2021,10,Croatia,617
2021,25,Switzerland,575
2021,59,Armenia,499
2021,11,Germany,616
2021,26,Latvia,569
2021,70,Turkey,478
2021,13,Luxembourg,604
2021,27,Czech Republic,563
2021,86,Azerbaijan,451
2021,14,Serbia,599
2021,31,France,551
2022,1,Netherlands,661
2022,15,Slovakia,597
2022,33,Spain,545
2022,3,Austria,628
2022,16,Luxembourg,596
2022,34,France,541
2022,17,Romania,595
2022,35,Ukraine,539
2022,5,Denmark,625
2022,18,Hungary,590
2022,39,Belarus,533
2022,19,Lithuania,589
2022,7,Sweden,618
2022,21,Bulgaria,581
2022,42,Moldova,528
2022,8,Finland,615
2022,23,Czech Republic,575
2022,45,Georgia,524
2022,25,Latvia,571
2022,47,Albania,523
2022,10,Germany,613
2022,26,Estonia,570
2022,57,Armenia,506
2022,11,Croatia,612
2022,27,Serbia,567
2022,64,Turkey,495
2022,13,Poland,600
2022,29,Switzerland,563
2022,92,Azerbaijan,440
2022,14,Greece,598
2022,32,Italy,548
2023,1,Netherlands,647
2023,15,Romania,596
2023,35,Italy,535
2023,3,Austria,616
2023,16,Bulgaria,589
2023,35,Moldova,535
2023,17,Hungary,588
2023,35,Spain,535
2023,5,Norway,614
2023,18,Slovakia,587
2023,39,Albania,533
2023,21,Lithuania,576
2023,41,Russia,532
2023,7,Belgium,608
2023,22,Luxembourg,575
2023,43,France,531
2023,8,Portugal,607
2023,23,Estonia,570
2023,45,Ukraine,530
2023,10,Germany,604
2023,24,Serbia,569
2023,48,Armenia,528
2023,11,Croatia,603
2023,26,Czech Republic,565
2023,66,Turkey,493
2023,12,Greece,602
2023,30,Switzerland,553
2023,83,Azerbaijan,463
2023,13,Poland,598
2023,32,Georgia,541
2023,14,Finland,597
2023,33,Belarus,539
2024,1,Netherlands,636
2024,14,Finland,590
2024,34,Georgia,543
2024,2,Norway,610
2024,15,Poland,588
2024,35,Belarus,539
2024,16,Bulgaria,586
2024,36,Spain,538
2024,5,Croatia,607
2024,17,Hungary,585
2024,38,Armenia,537
2024,18,Slovakia,584
2024,39,Moldova,536
2024,7,Denmark,603
2024,20,Estonia,578
2024,8,Greece,602
2024,21,Luxembourg,576
2024,43,Albania,533
2024,23,Lithuania,569
2024,44,Russia,532
2024,10,Germany,598
2024,24,Serbia,568
2024,46,Italy,528
2024,12,Romania,593
2024,25,Czechia,567
2024,49,France,524
2024,13,Belgium,592
2024,29,Cyprus,558
2024,65,Turkey,497
2024,31,Switzerland,550
2024,86,Azerbaijan,462
